model,horizon,regime,rmse_mean,rmse_std,mae_mean,mae_std,da_mean,da_std
bilstm,1,crisis_onset,0.030461756614907867,0.02779756502284702,0.030461756614907867,0.02779756502284702,83.33333333333333,40.824829046386306
bilstm,1,peak_crisis,0.019282722668746814,0.017325093483057098,0.019282722668746814,0.017325093483057098,46.15384615384615,51.887452166277086
bilstm,1,post_crisis,0.01672913570526969,0.010978608471884466,0.01672913570526969,0.010978608471884466,40.0,54.772255750516614
bilstm,1,pre_crisis,0.020136496235210136,0.02082022643537934,0.020136496235210136,0.02082022643537934,53.84615384615385,51.887452166277086
bilstm,5,crisis_onset,0.01983024037730152,0.00833629495262087,0.01983024037730152,0.00833629495262087,0.0,0.0
bilstm,5,peak_crisis,0.01877514404794196,0.011373364862166408,0.01877514404794196,0.011373364862166408,83.33333333333333,38.92494720807615
bilstm,5,post_crisis,0.014126405027052674,0.00779040705207135,0.014126405027052674,0.00779040705207135,33.333333333333336,51.63977794943223
bilstm,5,pre_crisis,0.020764159909637227,0.021191572256656514,0.020764159909637227,0.021191572256656514,61.53846153846154,50.63696835418333
bilstm,22,crisis_onset,0.031392241967055694,0.02781598456991372,0.031392241967055694,0.02781598456991372,66.66666666666667,51.63977794943222
bilstm,22,peak_crisis,0.019803459818696502,0.017303636451018952,0.019803459818696502,0.017303636451018952,46.15384615384615,51.887452166277086
bilstm,22,post_crisis,0.016746042455320038,0.010039464156741904,0.016746042455320038,0.010039464156741904,50.0,54.772255750516614
bilstm,22,pre_crisis,0.01993815827296807,0.020864649126188264,0.01993815827296807,0.020864649126188264,41.666666666666664,51.49286505444372
emd_lstm,1,crisis_onset,0.034244907308348366,0.0297094548371319,0.034244907308348366,0.0297094548371319,33.333333333333336,51.63977794943222
emd_lstm,1,peak_crisis,0.02110160757639592,0.018121865575169264,0.02110160757639592,0.018121865575169264,46.15384615384615,51.88745216627708
emd_lstm,1,post_crisis,0.016803250249431596,0.011800143620314398,0.016803250249431596,0.011800143620314398,40.0,54.772255750516614
emd_lstm,1,pre_crisis,0.019516240278769047,0.020303967966374226,0.019516240278769047,0.020303967966374226,53.84615384615385,51.887452166277086
emd_lstm,5,crisis_onset,0.018225770063218624,0.009746181680151698,0.018225770063218624,0.009746181680151698,50.0,54.772255750516614
emd_lstm,5,peak_crisis,0.017029818335396654,0.012467131777950146,0.017029818335396654,0.012467131777950146,75.0,45.22670168666454
emd_lstm,5,post_crisis,0.014061686656235278,0.00850680103715503,0.014061686656235278,0.00850680103715503,50.0,54.77225575051661
emd_lstm,5,pre_crisis,0.02131722908374634,0.018414160942113022,0.02131722908374634,0.018414160942113022,61.53846153846154,50.63696835418333
emd_lstm,22,crisis_onset,0.031899626300700444,0.026450502118608984,0.031899626300700444,0.026450502118608984,50.0,54.772255750516614
emd_lstm,22,peak_crisis,0.02110270734243844,0.017049666497008266,0.02110270734243844,0.017049666497008266,46.15384615384615,51.887452166277086
emd_lstm,22,post_crisis,0.015937705559119063,0.011165340989073987,0.015937705559119063,0.011165340989073987,66.66666666666667,51.63977794943222
emd_lstm,22,pre_crisis,0.02045158842990197,0.021647635197228426,0.02045158842990197,0.021647635197228426,41.666666666666664,51.49286505444372
gru,1,crisis_onset,0.03343997514994682,0.03030609990988047,0.03343997514994682,0.03030609990988047,83.33333333333333,40.8248290463863
gru,1,peak_crisis,0.020022311021705843,0.017558346323981816,0.020022311021705843,0.017558346323981816,53.84615384615385,51.88745216627708
gru,1,post_crisis,0.01698431949642934,0.010627401611745604,0.01698431949642934,0.010627401611745604,40.0,54.772255750516614
gru,1,pre_crisis,0.019804351473004078,0.019185615628477915,0.019804351473004078,0.019185615628477915,53.84615384615385,51.88745216627708
gru,5,crisis_onset,0.018197831662991566,0.009613817267882388,0.018197831662991566,0.009613817267882388,33.333333333333336,51.63977794943223
gru,5,peak_crisis,0.018529976729540255,0.011952712358477094,0.018529976729540255,0.011952712358477094,75.0,45.22670168666454
gru,5,post_crisis,0.01424532382399571,0.009136882661030146,0.01424532382399571,0.009136882661030146,33.333333333333336,51.63977794943223
gru,5,pre_crisis,0.021454300406759108,0.01852812406213774,0.021454300406759108,0.01852812406213774,61.53846153846154,50.63696835418333
gru,22,crisis_onset,0.0313473336432923,0.02626194805832367,0.0313473336432923,0.02626194805832367,66.66666666666667,51.63977794943222
gru,22,peak_crisis,0.020327895035669393,0.017800822058573414,0.020327895035669393,0.017800822058573414,30.76923076923077,48.03844614152614
gru,22,post_crisis,0.016330670377575737,0.010538500313275866,0.016330670377575737,0.010538500313275866,50.0,54.772255750516614
gru,22,pre_crisis,0.019927947847847356,0.021502185214399082,0.019927947847847356,0.021502185214399082,41.666666666666664,51.49286505444372
laplacian_svm,1,crisis_onset,0.03351836645712291,0.03329227998990854,0.03351836645712291,0.03329227998990854,83.33333333333333,40.8248290463863
laplacian_svm,1,peak_crisis,0.018410693333286304,0.018004962639140382,0.018410693333286304,0.018004962639140382,46.15384615384615,51.88745216627708
laplacian_svm,1,post_crisis,0.01774881501876715,0.01336854438010141,0.01774881501876715,0.01336854438010141,40.0,54.772255750516614
laplacian_svm,1,pre_crisis,0.019756612748068867,0.02079643253193069,0.019756612748068867,0.02079643253193069,61.53846153846154,50.63696835418333
laplacian_svm,5,crisis_onset,0.018904253942435337,0.008423332363074527,0.018904253942435337,0.008423332363074527,50.0,54.772255750516614
laplacian_svm,5,peak_crisis,0.020138542874090243,0.011917924673426335,0.020138542874090243,0.011917924673426335,50.0,52.223296786709355
laplacian_svm,5,post_crisis,0.014491196855114982,0.010278072989723665,0.014491196855114982,0.010278072989723665,33.333333333333336,51.63977794943223
laplacian_svm,5,pre_crisis,0.020525182808862136,0.02130102192888171,0.020525182808862136,0.02130102192888171,53.84615384615385,51.887452166277086
laplacian_svm,22,crisis_onset,0.030897310663229302,0.02912123153472256,0.030897310663229302,0.02912123153472256,66.66666666666667,51.63977794943222
laplacian_svm,22,peak_crisis,0.019235015330404708,0.018471585678805427,0.019235015330404708,0.018471585678805427,46.15384615384615,51.887452166277086
laplacian_svm,22,post_crisis,0.017969598287741344,0.00892447724677966,0.017969598287741344,0.00892447724677966,50.0,54.772255750516614
laplacian_svm,22,pre_crisis,0.018536284980121238,0.020414743152638002,0.018536284980121238,0.020414743152638002,50.0,52.223296786709355
lightgbm,1,crisis_onset,0.02970565429619393,0.02688049553597516,0.02970565429619393,0.02688049553597516,83.33333333333333,40.8248290463863
lightgbm,1,peak_crisis,0.018675569517806207,0.018273136132111897,0.018675569517806207,0.018273136132111897,38.46153846153846,50.63696835418333
lightgbm,1,post_crisis,0.016795249423286234,0.01243406160184762,0.016795249423286234,0.01243406160184762,60.0,54.772255750516614
lightgbm,1,pre_crisis,0.018758300557466433,0.018371621874288317,0.018758300557466433,0.018371621874288317,53.84615384615385,51.887452166277086
lightgbm,5,crisis_onset,0.017059108239606737,0.006598737958252786,0.017059108239606737,0.006598737958252786,50.0,54.772255750516614
lightgbm,5,peak_crisis,0.01948877065222739,0.012606673357600639,0.01948877065222739,0.012606673357600639,58.333333333333336,51.49286505444372
lightgbm,5,post_crisis,0.013886607640729118,0.009978155655293341,0.013886607640729118,0.009978155655293341,50.0,54.772255750516614
lightgbm,5,pre_crisis,0.019939580662521224,0.02032538187188758,0.019939580662521224,0.02032538187188758,69.23076923076923,48.03844614152614
lightgbm,22,crisis_onset,0.030694345121481444,0.02865924781676633,0.030694345121481444,0.02865924781676633,50.0,54.772255750516614
lightgbm,22,peak_crisis,0.0187744910702365,0.018008124379846283,0.0187744910702365,0.018008124379846283,46.15384615384615,51.887452166277086
lightgbm,22,post_crisis,0.016257803572564695,0.010363096533949992,0.016257803572564695,0.010363096533949992,50.0,54.772255750516614
lightgbm,22,pre_crisis,0.018631719516949613,0.02008123238151864,0.018631719516949613,0.02008123238151864,66.66666666666667,49.23659639173309
qk_svr,1,crisis_onset,0.038809281806715994,0.025893064083757186,0.038809281806715994,0.025893064083757186,33.333333333333336,51.63977794943222
qk_svr,1,peak_crisis,0.028680953407480773,0.01672917518462074,0.028680953407480773,0.01672917518462074,46.15384615384615,51.887452166277086
qk_svr,1,post_crisis,0.014577845921040639,0.009183297946392825,0.014577845921040639,0.009183297946392825,60.0,54.772255750516614
qk_svr,1,pre_crisis,0.024968351612625776,0.01894198775001096,0.024968351612625776,0.01894198775001096,53.84615384615385,51.887452166277086
qk_svr,5,crisis_onset,0.020281044911562893,0.017870521456763697,0.020281044911562893,0.017870521456763697,66.66666666666667,51.63977794943222
qk_svr,5,peak_crisis,0.02488198668979333,0.018638801522194787,0.02488198668979333,0.018638801522194787,50.0,52.223296786709355
qk_svr,5,post_crisis,0.022208885909680787,0.008096585557150439,0.022208885909680787,0.008096585557150439,66.66666666666667,51.63977794943222
qk_svr,5,pre_crisis,0.02983249873467109,0.017496545394092823,0.02983249873467109,0.017496545394092823,46.15384615384615,51.887452166277086
qk_svr,22,crisis_onset,0.0411416091483939,0.020172252763391067,0.0411416091483939,0.020172252763391067,50.0,54.772255750516614
qk_svr,22,peak_crisis,0.02869963005616358,0.01684129471324946,0.02869963005616358,0.01684129471324946,46.15384615384615,51.887452166277086
qk_svr,22,post_crisis,0.019195342126693427,0.013658149141612754,0.019195342126693427,0.013658149141612754,50.0,54.772255750516614
qk_svr,22,pre_crisis,0.027568024494101926,0.0180177256749315,0.027568024494101926,0.0180177256749315,50.0,52.223296786709355
rbf_svm,1,crisis_onset,0.031216499056273748,0.029607419950251082,0.031216499056273748,0.029607419950251082,66.66666666666667,51.63977794943222
rbf_svm,1,peak_crisis,0.0198604972199018,0.017731084369187345,0.0198604972199018,0.017731084369187345,30.76923076923077,48.03844614152614
rbf_svm,1,post_crisis,0.018129628315417277,0.009894351605722957,0.018129628315417277,0.009894351605722957,40.0,54.772255750516614
rbf_svm,1,pre_crisis,0.017521453311612808,0.021319005494418078,0.017521453311612808,0.021319005494418078,61.53846153846154,50.63696835418333
rbf_svm,5,crisis_onset,0.016668665327839643,0.011396815142056248,0.016668665327839643,0.011396815142056248,33.333333333333336,51.63977794943223
rbf_svm,5,peak_crisis,0.020424381397954623,0.012376833474969495,0.020424381397954623,0.012376833474969495,41.666666666666664,51.49286505444372
rbf_svm,5,post_crisis,0.012860063884638085,0.010197622915339743,0.012860063884638085,0.010197622915339743,66.66666666666667,51.63977794943222
rbf_svm,5,pre_crisis,0.020523670000252996,0.020575134626931446,0.020523670000252996,0.020575134626931446,53.84615384615385,51.887452166277086
rbf_svm,22,crisis_onset,0.0313095399443781,0.028947535349324854,0.0313095399443781,0.028947535349324854,66.66666666666667,51.63977794943222
rbf_svm,22,peak_crisis,0.019134567374113714,0.018321913715005283,0.019134567374113714,0.018321913715005283,46.15384615384615,51.887452166277086
rbf_svm,22,post_crisis,0.017724795989371853,0.009375963729028883,0.017724795989371853,0.009375963729028883,50.0,54.772255750516614
rbf_svm,22,pre_crisis,0.019545729923328117,0.020495563561536142,0.019545729923328117,0.020495563561536142,41.666666666666664,51.49286505444372
transformer,1,crisis_onset,0.030734285237401324,0.030158084595664308,0.030734285237401324,0.030158084595664308,83.33333333333333,40.8248290463863
transformer,1,peak_crisis,0.01803892709781801,0.01796425200753837,0.01803892709781801,0.01796425200753837,61.53846153846154,50.63696835418333
transformer,1,post_crisis,0.017277094906773233,0.011321720965623987,0.017277094906773233,0.011321720965623987,60.0,54.77225575051661
transformer,1,pre_crisis,0.01934789896380856,0.020797130394215484,0.01934789896380856,0.020797130394215484,46.15384615384615,51.887452166277086
transformer,5,crisis_onset,0.01812193004216426,0.008658952558801662,0.01812193004216426,0.008658952558801662,33.333333333333336,51.63977794943223
transformer,5,peak_crisis,0.021564537297200825,0.012054204018484947,0.021564537297200825,0.012054204018484947,33.333333333333336,49.236596391733094
transformer,5,post_crisis,0.014713342063185114,0.00817023680646988,0.014713342063185114,0.00817023680646988,16.666666666666668,40.824829046386306
transformer,5,pre_crisis,0.02103673552367398,0.021043974610536646,0.02103673552367398,0.021043974610536646,69.23076923076923,48.03844614152614
transformer,22,crisis_onset,0.031016643580235915,0.027401286525849264,0.031016643580235915,0.027401286525849264,66.66666666666667,51.63977794943222
transformer,22,peak_crisis,0.01876054436717037,0.017335675759493966,0.01876054436717037,0.017335675759493966,53.84615384615385,51.887452166277086
transformer,22,post_crisis,0.01750083915144836,0.01004377841310547,0.01750083915144836,0.01004377841310547,33.333333333333336,51.63977794943222
transformer,22,pre_crisis,0.01952190773371312,0.021257430304742277,0.01952190773371312,0.021257430304742277,50.0,52.223296786709355
xgboost,1,crisis_onset,0.0310508471527423,0.02851361221897439,0.0310508471527423,0.02851361221897439,66.66666666666667,51.63977794943222
xgboost,1,peak_crisis,0.018468968680526686,0.01757836540043452,0.018468968680526686,0.01757836540043452,53.84615384615385,51.887452166277086
xgboost,1,post_crisis,0.01755206248652637,0.011383853848330776,0.01755206248652637,0.011383853848330776,40.0,54.772255750516614
xgboost,1,pre_crisis,0.019515736034754497,0.01945674378603241,0.019515736034754497,0.01945674378603241,61.53846153846154,50.63696835418333
xgboost,5,crisis_onset,0.016876497271159214,0.007838510914437635,0.016876497271159214,0.007838510914437635,66.66666666666667,51.63977794943222
xgboost,5,peak_crisis,0.019524868057986356,0.012605128240983181,0.019524868057986356,0.012605128240983181,58.333333333333336,51.49286505444372
xgboost,5,post_crisis,0.014064606212970001,0.008979886158995313,0.014064606212970001,0.008979886158995313,33.333333333333336,51.63977794943223
xgboost,5,pre_crisis,0.02084286320883782,0.020299361919213506,0.02084286320883782,0.020299361919213506,69.23076923076923,48.03844614152614
xgboost,22,crisis_onset,0.0315596153093206,0.02848015588343791,0.0315596153093206,0.02848015588343791,66.66666666666667,51.63977794943222
xgboost,22,peak_crisis,0.01833026894414323,0.017591297225773565,0.01833026894414323,0.017591297225773565,61.53846153846154,50.63696835418333
xgboost,22,post_crisis,0.016472361372072194,0.010696517283808198,0.016472361372072194,0.010696517283808198,50.0,54.772255750516614
xgboost,22,pre_crisis,0.018962091688919033,0.020248539169606526,0.018962091688919033,0.020248539169606526,50.0,52.223296786709355
